name,type,size_mb,rows,owner,active_owner,evidence_source,initial_classification,notes
ab12CD34_berocket_termmeta,InnoDB,0.02,75,woocommerce-ajax-filters,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin woocommerce-ajax-filters is inactive
ab12CD34_cky_cookies,InnoDB,0.02,0,cookie-law-info,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin cookie-law-info is inactive
ab12CD34_cli_csv_template,InnoDB,0.02,0,cookie-law-info,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin cookie-law-info is inactive
ab12CD34_cmplz_cookiebanners,InnoDB,0.02,0,complianz-gdpr,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin complianz-gdpr is inactive
ab12CD34_cmplz_dnsmpd,InnoDB,0.02,0,complianz-gdpr,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin complianz-gdpr is inactive
ab12CD34_cmplz_services,InnoDB,0.02,42,complianz-gdpr,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin complianz-gdpr is inactive
ab12CD34_failed_media,InnoDB,0.02,0,wp-ultimate-csv-importer,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin wp-ultimate-csv-importer is inactive
ab12CD34_frmt_form_reports,InnoDB,0.02,0,forminator,no,information_schema + plugin list,REVIEW,Plugin forminator is inactive
ab12CD34_gla_attribute_mapping_rules,InnoDB,0.02,13,google-listings-and-ads,no,information_schema + plugin list,REVIEW,Plugin google-listings-and-ads is inactive
ab12CD34_import_detail_log,InnoDB,0.02,0,wp-ultimate-csv-importer,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin wp-ultimate-csv-importer is inactive
ab12CD34_import_log_detail,InnoDB,0.02,0,wp-ultimate-csv-importer,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin wp-ultimate-csv-importer is inactive
ab12CD34_import_postID,InnoDB,0.02,0,wp-ultimate-csv-importer,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin wp-ultimate-csv-importer is inactive
ab12CD34_ml_data,InnoDB,0.02,0,wp-ultimate-csv-importer,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin wp-ultimate-csv-importer is inactive
ab12CD34_mwai_filemeta,InnoDB,0.02,0,ai-engine,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin ai-engine is inactive
ab12CD34_pmxe_templates,InnoDB,0.02,0,wp-all-export-pro,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin wp-all-export-pro is inactive
ab12CD34_pmxi_files,InnoDB,0.02,2,wp-all-import-pro,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin wp-all-import-pro is inactive
ab12CD34_pmxi_hash,InnoDB,0.02,54,wp-all-import-pro,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin wp-all-import-pro is inactive
ab12CD34_pmxi_history,InnoDB,0.02,7,wp-all-import-pro,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin wp-all-import-pro is inactive
ab12CD34_revslider_css_bkp,InnoDB,0.02,47,revslider,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin revslider is inactive
ab12CD34_revslider_layer_animations,InnoDB,0.02,0,revslider,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin revslider is inactive
ab12CD34_revslider_layer_animations_bkp,InnoDB,0.02,0,revslider,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin revslider is inactive
ab12CD34_revslider_navigations,InnoDB,0.02,0,revslider,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin revslider is inactive
ab12CD34_revslider_navigations_bkp,InnoDB,0.02,0,revslider,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin revslider is inactive
ab12CD34_revslider_sliders_bkp,InnoDB,0.02,0,revslider,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin revslider is inactive
ab12CD34_revslider_slides_bkp,InnoDB,0.02,0,revslider,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin revslider is inactive
ab12CD34_revslider_static_slides,InnoDB,0.02,2,revslider,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin revslider is inactive
ab12CD34_revslider_static_slides_bkp,InnoDB,0.02,0,revslider,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin revslider is inactive
ab12CD34_sm_task_details,InnoDB,0.02,0,smartcrawl-seo,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin smartcrawl-seo is inactive
ab12CD34_sm_tasks,InnoDB,0.02,10,smartcrawl-seo,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin smartcrawl-seo is inactive
ab12CD34_smackcsv_file_events,InnoDB,0.02,0,wp-ultimate-csv-importer,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin wp-ultimate-csv-importer is inactive
ab12CD34_smackuci_events,InnoDB,0.02,0,wp-ultimate-csv-importer,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin wp-ultimate-csv-importer is inactive
ab12CD34_summary,InnoDB,0.02,0,smartcrawl-seo,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin smartcrawl-seo is inactive
ab12CD34_ultimate_csv_importer_acf_fields,InnoDB,0.02,0,wp-ultimate-csv-importer,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin wp-ultimate-csv-importer is inactive
ab12CD34_ultimate_csv_importer_mappingtemplate,InnoDB,0.02,0,wp-ultimate-csv-importer,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin wp-ultimate-csv-importer is inactive
ab12CD34_ultimate_csv_importer_media,InnoDB,0.02,0,wp-ultimate-csv-importer,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin wp-ultimate-csv-importer is inactive
ab12CD34_ultimate_csv_importer_shortcode_manager,InnoDB,0.02,0,wp-ultimate-csv-importer,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin wp-ultimate-csv-importer is inactive
ab12CD34_ultimate_post_entries,InnoDB,0.02,0,wp-ultimate-csv-importer,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin wp-ultimate-csv-importer is inactive
ab12CD34_vi_wbe_history,InnoDB,0.02,0,vi-woocommerce-bulk-editor,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin vi-woocommerce-bulk-editor is inactive
ab12CD34_wc_category_lookup,InnoDB,0.02,26,woocommerce,yes,information_schema + plugin list,KEEP,
ab12CD34_wc_reserved_stock,InnoDB,0.02,2,woocommerce,yes,information_schema + plugin list,KEEP,
ab12CD34_wffilechanges,InnoDB,0.02,0,wordfence,no,information_schema + plugin list,BLOCKED,Plugin wordfence is inactive
ab12CD34_wfknownfilelist,InnoDB,0.02,0,wordfence,no,information_schema + plugin list,BLOCKED,Plugin wordfence is inactive
ab12CD34_wfls_settings,InnoDB,0.02,27,wordfence,no,information_schema + plugin list,BLOCKED,Plugin wordfence is inactive
ab12CD34_wfsecurityevents,InnoDB,0.02,0,wordfence,no,information_schema + plugin list,BLOCKED,Plugin wordfence is inactive
ab12CD34_wftrafficrates,InnoDB,0.02,0,wordfence,no,information_schema + plugin list,BLOCKED,Plugin wordfence is inactive
ab12CD34_wfwaffailures,InnoDB,0.02,0,wordfence,no,information_schema + plugin list,BLOCKED,Plugin wordfence is inactive
ab12CD34_woo_mailerlite_jobs,InnoDB,0.02,0,woo-mailerlite,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin woo-mailerlite is inactive
ab12CD34_woocommerce_shipping_zone_methods,InnoDB,0.02,5,woocommerce,yes,information_schema + plugin list,KEEP,
ab12CD34_woocommerce_shipping_zones,InnoDB,0.02,0,woocommerce,yes,information_schema + plugin list,KEEP,
ab12CD34_woof_sd,InnoDB,0.02,0,woof-woocommerce-products-filter,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin woof-woocommerce-products-filter is inactive
ab12CD34_woof_sd_presets,InnoDB,0.02,0,woof-woocommerce-products-filter,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin woof-woocommerce-products-filter is inactive
ab12CD34_wpaicg,InnoDB,0.02,0,ai-engine,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin ai-engine is inactive
ab12CD34_wpaicg_chatlogs,InnoDB,0.02,0,ai-engine,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin ai-engine is inactive
ab12CD34_wpaicg_chattokens,InnoDB,0.02,0,ai-engine,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin ai-engine is inactive
ab12CD34_wpaicg_form_feedback,InnoDB,0.02,0,ai-engine,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin ai-engine is inactive
ab12CD34_wpaicg_form_logs,InnoDB,0.02,0,ai-engine,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin ai-engine is inactive
ab12CD34_wpaicg_formtokens,InnoDB,0.02,0,ai-engine,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin ai-engine is inactive
ab12CD34_wpaicg_image_logs,InnoDB,0.02,0,ai-engine,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin ai-engine is inactive
ab12CD34_wpaicg_imagetokens,InnoDB,0.02,0,ai-engine,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin ai-engine is inactive
ab12CD34_wpaicg_prompt_feedback,InnoDB,0.02,0,ai-engine,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin ai-engine is inactive
